study_hours,attendance,sleep_hours,previous_grade,final_grade
,90.93701147420254,6.714638733380177,2.594987748946617,1.512619274242967
4.72347139765763,,4.753829997091377,,2.7349227740421562
6.295377076201385,62.9835419475207,9.044843462698376,2.9932752044899633,0.9136738273277434
8.046059712816051,98.48618163989886,6.544560890652998,3.4750289221463486,
4.531693250553328,,6.266670821434463,2.1462186840431974,2.2293802588658673
4.531726086101639,67.37593976568773,,3.0075049774767635,3.554369978493168
8.158425631014783,52.51747634846766,,0.5602582374357459,1.3042820093084933
6.534869458305818,52.63826289298013,5.311619328952046,1.393098461452766,0.5342330634539341
4.061051228130096,84.60056279733274,5.355669512697152,1.5581966579260897,1.9570889035904329
6.085120087171929,72.8964497217014,6.898192927450777,2.0451829849841383,2.9868864067362484
4.0731646143750755,61.32608130180529,7.647447444456396,3.716305441027295,0.4394390282109337
4.068540492859486,80.69851531626163,8.10951320217675,3.497186240888697,1.6987339667878416
5.483924543132068,62.642905912505555,10.857992976242453,0.5381019691567381,0.07114056504993371
1.1734395106844042,78.88158771722112,3.6258513186988544,0.6911586075298528,0.13423672658900454
1.5501643349739345,67.96043734913451,,1.4305621983556454,1.9318134528666624
3.8754249415180544,91.17761133059095,6.1643041411416535,1.1629754635626957,1.1927891926037177
2.9743377593311524,91.03480803833897,6.12037727666684,2.459083812625049,3.3804291960216486
5.628494665190548,73.86751990612007,6.070341807619183,3.6111041910581796,2.408617224505817
3.1839518489575784,67.54095546675077,,3.849166166690347,1.8157318469719614
,68.12798982795474,9.526787251905178,2.614411810140906,1.6317414842171853
,90.2857262834109,8.263445990520854,3.3526368056043467,1.988981920758253
4.548447399026928,66.4089741398806,7.0347939678360625,2.1008088009231884,0.16175532485064537
5.1350564093758475,60.4529686853423,,0.8333077874401589,3.5711734256826397
2.1505036275730864,54.234417093765344,4.731206552051686,2.0987536483739095,3.9932126229358333
3.9112345509496347,73.33465604422042,5.003942303003611,2.2203304057506044,0.7259484994347947
5.2218451794197325,74.10660494599209,3.7330484017079684,2.9698302568542263,
2.6980128451553944,92.04543552014536,5.950878189815069,0.8795319588293964,0.5743098537943809
5.751396036691344,61.0619348223032,7.242547790057129,1.473241528346927,2.6441082329374686
3.79872262016239,,7.1542878668985015,1.4561098768582652,2.645763353803099
4.416612500413446,90.42028694468455,7.2240128665898204,3.8377583829646595,3.3916966491136438
3.796586775541206,91.18118053744868,4.883414753400878,1.7757798413068757,3.007305553705013
,69.23055379893842,8.204732113921033,3.020375869192586,1.798758693477359
24.86502775262066,72.95620116433405,7.3594412773584965,3.003245525497756,2.4514214462612753
2.8845781420881993,65.16429454246415,8.099581422198998,,2.7531386814720316
6.645089824206378,96.6277439209656,4.1608567336149225,2.2874787574869284,2.0509458811409007
2.5583127000579555,55.932188287079015,,3.5772115732745924,
5.4177271900095105,96.68747115007349,5.218352140123709,1.9007908778277978,2.580389782570613
1.0806597522404489,84.19332259176716,6.404015121172957,3.7804700293701843,2.229898195902615
2.343627902203139,76.57860763433656,7.801547347954575,0.8578329172966463,2.5757692213436414
5.393722471738247,51.632953039224795,,0.2966364230961229,2.4514190958534554
6.476933159990821,,5.722690030331021,3.5658154925789973,2.8767862420546186
5.342736562379941,70.38740525013661,7.009409734276628,3.3907247918488665,2.5712140351315043
4.768703435223519,58.060940598756126,,3.970359503735379,2.078969945749069
4.3977926088214225,,8.725401093847445,2.7175739524497042,2.727187245137546
2.0429560192651453,98.55754536841428,,3.746751706668598,
3.5603115832105825,78.10944055322625,8.677824916382988,3.3077961003364433,0.9666849038904042
4.078722458080425,85.73766382219729,6.210202469355935,3.3777053324803474,0.0056728805356618395
7.114244452437831,53.42252262830084,6.214636017390125,2.276566281817073,2.2398565885833728
5.687236579136923,70.88334979084973,5.8537198200432305,1.5294583916668434,2.362620906434564
1.473919689274532,,,3.7382322901731273,
