cpu_usage,ram_usage,battery,temperature,device_type,status
67.22785586307918,12.200830527149346,48.88186216581959,44.13540800421546,office,normal
48.80783992405837,11.052143833987717,81.59381417195934,,office,lagging
82.54951740358963,11.559405868541809,45.2096138001617,50.79226948456662,office,
,6.307530203179297,23.59368964335018,55.16709298229111,student,
80.80499633648476,1.9863346323596005,80.09371748531778,66.93492129722661,student,lagging
56.56174196105306,10.41889279886647,36.267279678527885,51.41856123719313,gaming,
29.7622498703944,19.9014561076101,94.70045252650202,73.72526792429498,gaming,lagging
4.669572050695326,4.580147800862765,67.23928015618714,57.053792039882765,office,normal
99.06273994707962,,40.03254755413699,58.920288081803164,student,overheat
0.6825733043655191,29.55534284173069,45.79566610150605,,office,
76.97930281899397,1.7869777316042352,64.2044207812532,58.81476997711141,student,overheat
74.67671009942997,16.970191491702973,83.24088619197147,55.811813142949326,office,overheat
37.74389363349652,20.63930838091644,76.44368410004407,,gaming,overheat
49.41474522409759,11.094653950228981,,54.018064461719,gaming,lagging
,19.003684889185713,53.104542641557416,56.52725020855983,gaming,lagging
39.54540443458203,11.693893403698688,29.766288754094617,48.46104795196151,gaming,overheat
97.395629682896,30.511521521294096,76.76290472606023,62.54679998536409,office,overheat
52.44147153752401,3.1876898406957963,35.82176071223685,58.38396372616267,student,overheat
9.361309329775258,1.7104769281822954,41.13039160128484,62.391548565059814,gaming,normal
81.3308412782129,21.574367997684504,57.28371077287683,56.46848544796051,office,lagging
21.16867855893635,7.703547532957867,98.49070937704228,,student,overheat
55.43457845906854,18.75883379648301,,150.0,gaming,lagging
29.22691159591616,13.422359842396705,88.10523874100646,63.18523312948722,gaming,
81.61423599871883,18.126747717782965,,50.17174303926368,student,normal
82.80425662068114,29.986674567620348,35.16102330506371,,student,overheat
22.15773717295777,,75.51808314193906,74.99652847911038,gaming,overheat
64.48347016033115,,87.5084810324837,63.51440347370728,gaming,lagging
9.518162193353042,3.0083714127701455,63.058590847644425,,student,normal
,2.999952640909889,,54.43363872869305,student,lagging
9.686526126266715,27.94379534352613,,,office,
14.401099890768466,1.9064107338345124,16.96654739016704,52.79586479710402,gaming,overheat
21.219617531555702,25.201809358527512,32.67656129254094,66.1442682460405,office,lagging
47.665615445586,3.224001666174413,72.76070556250293,64.35527630029634,office,normal
7.761383660001487,31.167426984591348,17.345873555165735,56.633966306936614,office,overheat
23.504378152453466,19.634224304641457,98.00587609461799,,office,lagging
0.65530026811641,11.27706766475989,81.34654155821275,67.53561061126643,student,normal
89.86441870723998,18.148507246490414,36.073209178891595,57.21984754594352,student,normal
55.22344268776632,24.159505310057202,58.34910257023341,150.0,gaming,normal
16.75466277143035,,92.86991385876604,61.660414818199676,gaming,lagging
92.88781834957359,,99.13677457906243,,,overheat
54.20876988179221,27.579872889969682,35.75180039109082,58.17430478953538,office,
4.17585312942399,,74.91663575102227,59.83376607218854,student,overheat
52.4876839962013,30.355287554698293,,68.95546317672463,office,lagging
64.01425405143249,7.806852020894695,,,student,normal
80.06581636464107,23.331337653918414,38.190495600991916,59.02944882464158,,
83.49188516906104,6.034532528384162,,68.19474822667559,office,normal
25.263223015238257,8.201913712871875,17.32490146558604,,,normal
96.8273512775284,30.16839169168594,,42.42889449191429,office,normal
46.623813470984224,22.240015570380944,94.06291936735612,,student,lagging
26.409116985487202,7.271142102820033,,75.08921391114313,student,lagging
54.93784178160719,0.5536703295675345,65.13526291014425,59.306253031383626,gaming,lagging
37.733378724539676,8.582358523150127,73.99029241166951,58.14289016397579,office,normal
20.372834798319438,11.261124979487384,80.92458761035131,49.93447196664762,gaming,overheat
,30.71751508478344,47.16857510618625,,office,normal
93.91774228853117,24.97949871534114,49.7411833279671,150.0,student,lagging
83.74935925752547,,67.32104839577985,65.38674500141695,office,lagging
43.27893351911071,1.7861910933406797,36.89533008226464,41.61678792684163,office,lagging
71.61129519222669,17.679760533197353,,56.92462683275501,student,overheat
85.13439906717856,13.706821008536476,77.46900183332639,61.330047093829464,,normal
7.90466853113343,13.240091463392584,81.37182431413201,,gaming,normal
40.995853614205444,9.234683272781837,5.100326910556174,71.06303570578153,gaming,overheat
64.15701007734637,7.54038833612174,51.077318337490595,46.186170230439075,office,overheat
97.64513222168601,27.615244950573743,56.74762781575961,59.63556542154253,gaming,overheat
70.52883592468572,26.55187157465486,3.200043920839235,,office,normal
63.66201027114586,25.80372254185177,74.60882993354531,69.20714426655148,office,overheat
20.538671086664507,14.70293800396199,88.70819667866948,53.176122177514756,student,normal
,17.476908815234577,90.06790950846802,66.93003975324612,student,normal
16.001007403150314,,7.422053852422139,72.00204670253079,office,overheat
30.393320378361622,,26.67658105799502,56.348399286319626,student,lagging
,26.66126987189372,56.13526513397969,53.33965695299818,,normal
95.79799989390858,29.09489815204136,2.642318402430077,77.10708324330845,,normal
1.5782220353167897,28.394334211186877,34.55859872602579,,gaming,
31.259445774959595,23.74586384465976,67.26398962083245,75.3599324520311,student,overheat
4.8912686976038895,,61.783007148916816,51.3695351078857,student,overheat
87.47708924533312,,,51.72535769928771,student,lagging
69.37578994828002,26.079924680777452,31.527565484459263,62.091102084995626,gaming,normal
82.6558523971149,2.0598846252681966,49.58905054063493,,gaming,normal
91.83481487085025,0.002647243881625627,0.8497408620436353,42.77350447360209,office,lagging
15.311845479779729,16.01425352405544,66.34031953737092,61.16039766636771,gaming,normal
47.002862075489794,16.84575100491011,46.59858974758318,71.75502360918401,office,normal
,,10.558321070570297,54.317577923982284,,overheat
51.62529083066829,,27.18758988095796,,,lagging
,8.913761123676412,43.45030397608578,52.754696226642494,student,normal
82.25251490068196,29.488026031786447,52.35287707581699,53.03439848990162,gaming,
23.526653942787256,21.91372724702769,2.0216048538893805,49.22003183510743,office,overheat
10.5540009049382,1.3381661871417059,41.24977306811072,65.46736847727442,gaming,normal
,30.672608109784502,31.278564737589264,,office,overheat
24.36563040301666,12.028166739267775,47.051883182970066,63.740281206894494,office,overheat
,23.56834423063901,75.39169105397096,62.80176366476724,office,normal
